report_date,views,estimated_minutes_watched,average_view_duration,subscribers_gained,subscribers_lost,likes,comments,shares,current_subscribers,lifetime_views,video_count,analytics_complete
2026-07-15,12,1.0,9.0,0,0,2,1,0,3,427,9,True
2026-07-16,47,8.0,19.0,0,0,1,1,0,3,427,9,True
2026-07-17,67,23.0,21.0,0,0,0,1,0,3,427,9,True
2026-07-18,51,17.0,22.0,0,0,2,1,0,3,427,9,True
2026-07-19,61,13.0,13.0,1,0,0,1,0,3,427,9,True
2026-07-20,57,21.0,22.0,0,0,1,0,0,3,427,9,True
2026-07-21,36,17.0,29.0,0,0,1,0,0,3,427,9,True
2026-07-22,59,59.0,60.0,0,0,0,0,0,3,462,9,True
2026-07-23,76,19.0,15.0,0,0,0,0,0,3,516,9,True
2026-07-24,48,34.0,42.0,0,0,1,1,0,3,593,9,True
2026-07-25,75,93.0,75.0,1,0,0,0,0,4,640,9,True
2026-07-26,37,47.0,76.0,0,0,0,0,2,4,717,9,True
2026-07-27,40,15.0,22.0,1,0,1,0,0,5,756,9,True
2026-07-28,73,24.0,20.0,0,0,0,0,0,5,778,9,True
2026-07-29,60,31.0,31.0,0,0,0,0,0,6,928,9,True
2026-07-30,234,124.0,32.0,1,0,1,0,2,6,928,9,True
2026-07-31,193,156.0,48.0,0,0,0,0,0,6,1151,9,True
2026-08-01,52,54.0,62.0,0,0,0,0,0,6,1151,9,True
2026-08-02,27,13.0,29.0,0,0,0,0,1,6,1151,9,True
2026-08-03,117,62.0,32.0,0,0,0,0,0,6,1432,9,True
2026-08-04,61,45.0,44.0,0,0,0,0,0,6,1575,9,True
2026-08-05,117,104.0,53.0,1,0,0,0,0,7,1610,9,True
2026-08-06,142,155.0,65.0,0,0,4,0,0,7,1714,9,True
2026-08-07,142,132.0,56.0,1,0,0,0,2,7,1870,9,True
2026-08-08,0,0.0,0.0,0,0,0,0,0,7,2002,9,False
2026-08-09,0,0.0,0.0,0,0,0,0,0,7,2204,9,False
