report_date,views,estimated_minutes_watched,average_view_duration,subscribers_gained,subscribers_lost,likes,comments,shares,current_subscribers,lifetime_views,video_count,analytics_complete
2026-07-15,1,1.0,71.0,0,0,1,0,0,6,630,12,True
2026-07-16,369,35.0,19.0,2,0,5,1,0,6,630,12,True
2026-07-17,35,55.0,107.0,0,1,1,2,1,6,630,12,True
2026-07-18,83,70.0,60.0,2,0,7,1,0,6,630,12,True
2026-07-19,45,139.0,333.0,0,0,2,0,0,6,630,12,True
2026-07-20,34,26.0,72.0,0,0,2,0,0,6,630,12,True
2026-07-21,8,11.0,98.0,0,0,0,0,0,6,630,12,True
2026-07-22,6,4.0,46.0,1,0,0,0,0,7,636,12,True
2026-07-23,12,14.0,71.0,1,0,0,0,0,8,642,12,True
2026-07-24,16,17.0,67.0,0,1,0,0,0,7,653,12,True
2026-07-25,12,26.0,131.0,0,0,0,0,0,7,661,13,True
2026-07-26,8,9.0,69.0,0,0,2,1,0,7,681,13,True
2026-07-27,1,3.0,191.0,0,0,0,0,0,7,690,14,True
2026-07-28,4,9.0,138.0,0,0,0,0,0,7,690,14,True
2026-07-29,5,0.0,6.0,0,0,0,0,0,7,700,13,True
2026-07-30,3,5.0,111.0,0,0,0,0,0,7,700,13,True
2026-07-31,4,0.0,8.0,0,0,0,0,0,7,703,13,True
2026-08-01,2,6.0,191.0,0,0,1,0,0,7,703,13,True
2026-08-02,5,4.0,62.0,0,0,0,0,0,7,703,13,True
2026-08-03,1,3.0,191.0,0,0,0,0,0,7,712,13,True
2026-08-04,0,0.0,0.0,0,0,0,0,0,7,714,14,False
2026-08-05,0,0.0,0.0,0,0,0,0,0,7,717,14,False
